"","BLANK.2","QC.1","QC.2","QC.3","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","X12.1","X12.2","X12.3"
"Label","Other","Other","Other","Other","Second-tp_Control","Second-tp_Control","Second-tp_Control","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Xanthomonas","Second-tp_Xanthomonas","Second-tp_Xanthomonas"
"sodium_formate","3680698.477","4066641.635","3879395.65","4076296.312","3985225.417","3922751.054","3861917.098","4036645.716","3843867.149","3845185.216","4021607.908","4043455.006","3773975.074","3345590.809","3565069.568","3815932.471","3878102.735","3825451.14"
"M697.459T1191.472","985.12998","147331.1733","99500","139952.827","4925.6499","109223.737","157950.877","277117.269","276000","150678.262","142000","129000","94326.21","9214.0867","126038.528","209734.842","130477.612","190000"
"M695.447T1189.727","13450.2944","126048.9958","134000","125924.459","19392.7322","140032.114","135717.609","182706.209","206000","120301.167","120000","126000","102252.782","18034.6893","106107.258","160062.415","165981.274","146000"
"M917.581T1308.231","2115.8657","61374.9686","67700","46004.327","9064.5645","37509.03","53751.262","48972.723","90300","93593.596","50700","42900","53763.315","2184.1877","38215.561","70911.576","108071.863","52900"
"M810.529T1306.211","48631.3265","230287.0154","220000","193932.61","55297.2129","182034.03","203708.284","226389.079","244000","252420.099","239000","185000","188470.657","54354.6267","216231.079","214170.319","247530.165","264000"
"M385.182T1540.093","148508.3789","172891.3326","198000","196275.241","154762.1655","215765.737","256736.647","188657.032","234000","138642.876","159000","293000","231317.066","162434.2483","191669.895","263580.529","167277.89","239000"
"M441.228T1306.216","43358.4547","207081.4396","255000","247598.952","54151.5059","250071.336","298747.713","190244.102","214000","218107.676","204000","231000","207633.023","39304.6436","240647.507","212655.777","260177.934","245000"
"M711.445T1221.644","5467.3746","77338.2661","86200","96719.521","11971.5114","78046.979","103578.25","155516.821","154000","95820.48","82300","135000","71197.308","11876.8173","67808.492","195832.604","134190.509","110000"
"M557.468T1423.166","14892.0994","292374.4778","410000","334984.908","39046.7557","204560.741","357704.93","432231.665","683000","466922.501","348000","418000","419916.387","12881.071","308958.315","540500.287","404711.333","312000"
"M679.436T1338.726","122476.9514","359010.1836","452000","377428.723","78495.639","287374.165","420579.58","658959.215","650000","403825.841","377000","706000","453907.657","72123.0905","443298.429","915668.027","452176.761","453000"
"M589.459T1372.544","3998.0049","104409.0261","118000","84365.09","22898.1671","83715.581","104461.691","226027.719","228000","126610.206","124000","177000","163865.837","14712.6626","117960.702","252427.935","160733.435","141000"
"M681.469T1408.485","112389.2869","518672.1418","584000","525769.479","133199.6069","346225.441","501134.66","989238.79","843000","478860.757","550000","998000","679366.942","114663.1071","923215.059","1197736.875","602551","609000"
"M695.451T1225.817","42074.5013","225171.3505","254000","228577.635","36154.2611","222289.97","229877.841","369653.9","369000","278107.411","225000","346000","217077.042","29298.0451","213507.894","455781.151","278365.793","276000"
"M285.134T1052.907","2482.1616","160927.1464","191000","153403.204","10686.981","221176.579","269413.681","153462.067","292000","232329.913","151000","59500","95671.297","3603.0154","128288.515","212892.242","259981.006","304000"
"M681.469T1389.183","104816.5992","504877.2227","571000","503253.844","129317.6672","345725.652","492815.822","979108.969","837000","471758.313","536000","999000","683519.153","107228.1566","793714.181","1185554.165","595785.512","591000"
"M680.474T1439.81","185956.928","255051.3497","283000","281276.639","202525.4164","198655.953","257189.403","372540.94","354000","294066.006","261000","417000","309638.8","160746.4208","817456.095","494146.701","315296.625","237000"
"M574.467T1456.399","19965.2981","157050.0698","210000","185858.483","39022.4779","131861.669","170449.622","300977.472","227000","215760.323","168000","347000","265759.54","62281.9603","194411.259","291392.105","167780.796","208000"
