"",F.stat,p.value,-log10(p),FDR
M283.086T201.788,15.846,6.4094e-05,4.1932,0.13979
M374.109T731.372,7.1827,0.002793,2.5539,0.69292
M698.86T68.208,6.1456,0.0052907,2.2765,0.69292
M392.288T1179.554,5.9833,0.0058806,2.2306,0.69292
M437.29T1178.675,5.8862,0.0062698,2.2027,0.69292
M315.405T313.892,5.5982,0.0076086,2.1187,0.69292
M1712.298T909.092,5.4339,0.008519,2.0696,0.69292
M459.275T1179.554,5.4199,0.0086017,2.0654,0.69292
M467.051T320.771,5.2274,0.0098449,2.0068,0.69292
M435.234T1304.756,5.1588,0.010336,1.9856,0.69292
M1231.291T836.99,5.1091,0.010711,1.9702,0.69292
M698.888T1003.439,5.052,0.011159,1.9524,0.69292
M387.034T831.689,4.962,0.011911,1.924,0.69292
M246.097T864.37,4.8524,0.012907,1.8892,0.69292
M401.027T415.826,4.7695,0.013722,1.8626,0.69292
M338.196T1226.316,4.7032,0.014418,1.8411,0.69292
M463.02T875.074,4.6326,0.015203,1.8181,0.69292
M593.306T1591.72,4.5883,0.015721,1.8035,0.69292
M516.992T825.04,4.5463,0.016231,1.7897,0.69292
M272.073T418.674,4.5127,0.016652,1.7785,0.69292
M539.034T616.33,4.45,0.017472,1.7577,0.69292
M453.17T879.981,4.3783,0.018467,1.7336,0.69292
M687.305T1181.604,4.3294,0.019182,1.7171,0.69292
M469.019T418.674,4.326,0.019233,1.716,0.69292
M461.223T1572.372,4.2747,0.020021,1.6985,0.69292
M433.122T384.02,4.2371,0.020621,1.6857,0.69292
M642.302T1183.207,4.2045,0.021158,1.6745,0.69292
M469.036T876.272,4.1705,0.021736,1.6628,0.69292
M1130.437T924.326,4.0832,0.023303,1.6326,0.69292
M429.156T412.291,4.054,0.023856,1.6224,0.69292
M511.046T749.487,4.0365,0.024193,1.6163,0.69292
M433.038T831.69,3.9426,0.026105,1.5833,0.69292
M781.218T930.113,3.8996,0.027038,1.568,0.69292
M375.129T729.569,3.8211,0.02884,1.54,0.69292
M449.004T832.738,3.7996,0.029358,1.5323,0.69292
M481.183T769.795,3.7471,0.030665,1.5134,0.69292
M365.052T459.24,3.7405,0.030833,1.511,0.69292
M339.058T415.891,3.7162,0.031466,1.5022,0.69292
M204.085T413.719,3.614,0.034287,1.4649,0.69292
M365.135T389.484,3.5843,0.035162,1.4539,0.69292
M404.065T806.181,3.5613,0.035856,1.4454,0.69292
M1176.528T983.06,3.544,0.036388,1.439,0.69292
M471.046T618.546,3.5041,0.037651,1.4242,0.69292
M541.425T1223.783,3.4792,0.038464,1.415,0.69292
M642.242T817.768,3.4547,0.039281,1.4058,0.69292
M609.777T834.854,3.4493,0.039463,1.4038,0.69292
M632.783T316.499,3.445,0.039613,1.4022,0.69292
M355.571T782.72,3.435,0.039953,1.3984,0.69292
M531.009T876.272,3.4289,0.040164,1.3962,0.69292
M771.203T760.252,3.4049,0.041009,1.3871,0.69292
M1032.826T1226.065,3.3402,0.043381,1.3627,0.69292
M473.173T806.642,3.3252,0.043954,1.357,0.69292
M1192.997T906.309,3.3229,0.044044,1.3561,0.69292
M333.083T110.42,3.3147,0.044361,1.353,0.69292
M553.164T782.325,3.3053,0.044728,1.3494,0.69292
M455.021T825.04,3.3014,0.044881,1.3479,0.69292
M1043.507T948.503,3.2294,0.047818,1.3204,0.69292
M1462.085T939.347,3.2289,0.04784,1.3202,0.69292
M553.051T758.396,3.2187,0.048276,1.3163,0.69292
M1014.009T1346.556,3.165,0.050634,1.2956,0.69292
M790.016T1120.766,3.1559,0.051045,1.292,0.69292
M371.133T805.134,3.1278,0.052344,1.2811,0.69292
M619.26T816.529,3.119,0.052756,1.2777,0.69292
M751.251T911.327,3.0958,0.053869,1.2687,0.69292
M380.071T778.258,3.0909,0.054104,1.2668,0.69292
M711.218T782.65,3.0805,0.054611,1.2627,0.69292
M637.177T857.418,3.0557,0.055848,1.253,0.69292
M643.245T933.361,3.0538,0.055944,1.2522,0.69292
M1168.035T908.053,3.0511,0.056079,1.2512,0.69292
M354.093T750.969,3.0478,0.056246,1.2499,0.69292
M721.9T1109.959,3.0166,0.057859,1.2376,0.69292
M339.098T806.181,3.0129,0.058055,1.2362,0.69292
M1613.665T937.741,3.0016,0.05865,1.2317,0.69292
M315.093T821.98,3.0006,0.058707,1.2313,0.69292
M684.191T618.708,2.9809,0.059766,1.2235,0.69292
M857.325T1034.658,2.9475,0.061616,1.2103,0.69292
M643.245T813.714,2.9033,0.064168,1.1927,0.69292
M317.064T416.942,2.8878,0.065087,1.1865,0.69292
M333.041T419.397,2.8796,0.065582,1.1832,0.69292
M869.904T1310.035,2.8729,0.065989,1.1805,0.69292
M299.07T414.239,2.8631,0.066587,1.1766,0.69292
M485.178T783.442,2.8537,0.06717,1.1728,0.69292
M975.202T831.412,2.8483,0.067503,1.1707,0.69292
M679.277T1051.577,2.828,0.068785,1.1625,0.69292
M683.185T619.574,2.823,0.069106,1.1605,0.69292
M503.141T271.391,2.8216,0.069195,1.1599,0.69292
M1042.847T909.803,2.7922,0.07111,1.1481,0.69292
M393.081T756.691,2.7921,0.07112,1.148,0.69292
M408.931T66.356,2.7876,0.071417,1.1462,0.69292
M927.398T981.461,2.7791,0.071987,1.1427,0.69292
M697.645T1007.409,2.771,0.072532,1.1395,0.69292
M299.652T1305.804,2.77,0.072601,1.1391,0.69292
M759.145T875.232,2.7502,0.073954,1.131,0.69292
M559.04T89.345,2.7465,0.074214,1.1295,0.69292
M681.357T1600.324,2.7416,0.07455,1.1276,0.69292
M349.057T865.046,2.7178,0.076236,1.1178,0.69292
M263.13T940.795,2.7114,0.076693,1.1152,0.69292
M321.17T1088.358,2.7051,0.077149,1.1127,0.69292
M695.12T755.765,2.6914,0.078153,1.1071,0.69292
M824.341T916.725,2.679,0.079071,1.102,0.69292
M1023.175T89.251,2.6764,0.079265,1.1009,0.69292
M593.763T756.056,2.675,0.07937,1.1003,0.69292
M1390.547T1005.094,2.6725,0.079561,1.0993,0.69292
M465.104T862.717,2.6697,0.079774,1.0981,0.69292
M413.17T1141.015,2.6663,0.080026,1.0968,0.69292
M610.849T834.902,2.6631,0.080272,1.0954,0.69292
M875.185T822.717,2.6514,0.081163,1.0906,0.69292
M1031.347T966.014,2.6412,0.081952,1.0864,0.69292
M493.136T809.014,2.6223,0.083438,1.0786,0.69292
M1624.518T315.279,2.6204,0.083582,1.0779,0.69292
M806.809T940.953,2.6192,0.083676,1.0774,0.69292
M861.253T1033.436,2.6168,0.083868,1.0764,0.69292
M559.066T758.189,2.6141,0.084085,1.0753,0.69292
M723.784T1121.279,2.6129,0.084179,1.0748,0.69292
M1130.433T884.599,2.5935,0.085752,1.0668,0.69292
M513.235T964.262,2.5748,0.0873,1.059,0.69292
M319.045T832.748,2.5449,0.089827,1.0466,0.69292
M1243.514T983.057,2.5438,0.089928,1.0461,0.69292
M1133.773T914.148,2.542,0.090082,1.0454,0.69292
M365.528T823.98,2.5385,0.090383,1.0439,0.69292
M1007.203T89.251,2.5208,0.091932,1.0365,0.69292
M784.154T761.471,2.5013,0.093674,1.0284,0.69292
M327.108T784.235,2.4959,0.094158,1.0261,0.69292
M447.152T782.273,2.4882,0.094865,1.0229,0.69292
M359.022T90.408,2.4876,0.09492,1.0226,0.69292
M346.113T762.425,2.4732,0.096251,1.0166,0.69292
M203.347T415.048,2.4673,0.096799,1.0141,0.69292
M664.226T813.714,2.4641,0.097101,1.0128,0.69292
M593.543T760.107,2.4598,0.097501,1.011,0.69292
M805.515T1328.497,2.4445,0.098954,1.0046,0.69292
M1005.407T928.554,2.4435,0.099055,1.0041,0.69292
M593.947T757.746,2.4304,0.10032,0.9986,0.69292
M423.898T65.661,2.4277,0.10058,0.99747,0.69292
M1110.425T909.936,2.4265,0.1007,0.99697,0.69292
M1009.607T1323.757,2.4161,0.10172,0.99259,0.69292
M795.174T784.422,2.416,0.10174,0.99251,0.69292
M637.331T1596.612,2.4098,0.10235,0.9899,0.69292
M483.129T913.248,2.4092,0.10241,0.98964,0.69292
M466.978T106.664,2.408,0.10253,0.98914,0.69292
M439.083T756.683,2.4067,0.10266,0.98861,0.69292
M531.078T845.355,2.4005,0.10328,0.98599,0.69292
M1220.32T832.741,2.38,0.10537,0.97727,0.69292
M677.303T904.97,2.3457,0.10897,0.9627,0.69292
M729.216T1004.962,2.344,0.10915,0.96198,0.69292
M278.88T96.95,2.3421,0.10935,0.96117,0.69292
M390.087T116.11,2.3386,0.10973,0.95967,0.69292
M314.995T91.028,2.337,0.10989,0.95902,0.69292
M1009.554T1308.282,2.3346,0.11016,0.95798,0.69292
M282.953T93.329,2.3339,0.11023,0.95769,0.69292
M821.606T900.199,2.3286,0.11081,0.95543,0.69292
M159.978T67.84,2.316,0.1122,0.95003,0.69292
M738.365T995.342,2.3153,0.11227,0.94973,0.69292
M627.173T806.181,2.3145,0.11235,0.94941,0.69292
M698.988T986.183,2.3127,0.11256,0.94862,0.69292
M611.147T106.977,2.3103,0.11282,0.94763,0.69292
M379.335T877.312,2.3063,0.11327,0.9459,0.69292
M537.695T1290.37,2.3044,0.11348,0.94509,0.69292
M1043.424T909.662,2.3008,0.11388,0.94354,0.69292
M497.043T88.687,2.2988,0.11411,0.94269,0.69292
M453.016T88.336,2.2973,0.11427,0.94206,0.69292
M471.173T770.868,2.2849,0.11568,0.93675,0.69292
M677.702T838.115,2.2846,0.11572,0.93659,0.69292
M333.109T769.719,2.2813,0.11609,0.9352,0.69292
M437.065T776.272,2.2805,0.11619,0.93485,0.69292
M294.948T66.364,2.2791,0.11635,0.93423,0.69292
M761.09T836.466,2.2767,0.11662,0.93323,0.69292
M289.084T863.831,2.2655,0.11792,0.9284,0.69292
M477.162T299.232,2.2647,0.11802,0.92806,0.69292
M929.201T835.867,2.2621,0.11832,0.92695,0.69292
M1201.918T909.936,2.259,0.11869,0.9256,0.69292
M1230.792T836.99,2.2578,0.11882,0.92512,0.69292
M451.007T107.467,2.2562,0.11901,0.92442,0.69292
M971.627T318.415,2.2507,0.11966,0.92204,0.69292
M870.194T810.976,2.2488,0.11989,0.92122,0.69292
M1109.422T909.522,2.2292,0.12224,0.9128,0.69292
M632.847T316.374,2.228,0.12239,0.91225,0.69292
M410.078T615.621,2.2182,0.12358,0.90804,0.69292
M723.577T942.094,2.2159,0.12387,0.90704,0.69292
M593.465T757.874,2.2145,0.12404,0.90642,0.69292
M437.042T89.308,2.2061,0.12508,0.90282,0.69292
M269.05T89.726,2.2033,0.12544,0.90158,0.69292
M684.137T316.584,2.1973,0.12618,0.899,0.69292
M469.208T948.545,2.1963,0.12631,0.89856,0.69292
M343.871T91.064,2.1912,0.12695,0.89635,0.69292
M379.067T781.128,2.1854,0.12769,0.89385,0.69292
M395.048T106.9,2.1802,0.12835,0.89159,0.69292
M911.26T1004.032,2.1776,0.12868,0.89048,0.69292
M795.198T1006.041,2.1717,0.12945,0.88788,0.69292
M917.49T1360.024,2.1688,0.12983,0.88663,0.69292
M1107.431T863.874,2.1649,0.13034,0.88493,0.69292
M343.139T875.835,2.1634,0.13052,0.88432,0.69292
M463.021T778.363,2.1633,0.13054,0.88425,0.69292
M941.361T940.292,2.1618,0.13073,0.88361,0.69292
M470.098T771.956,2.1613,0.1308,0.88338,0.69292
M937.334T882.127,2.1609,0.13085,0.88321,0.69292
M573.017T749.518,2.1597,0.13101,0.8827,0.69292
M481.099T800.114,2.1597,0.13101,0.88268,0.69292
M341.275T746.97,2.1549,0.13164,0.8806,0.69292
M357.108T784.337,2.1529,0.1319,0.87975,0.69292
M283.068T151.129,2.1502,0.13227,0.87855,0.69292
M807.166T938.699,2.1479,0.13258,0.87754,0.69292
M1197.439T886.215,2.1467,0.13272,0.87705,0.69292
M799.289T814.54,2.1447,0.133,0.87616,0.69292
M473.173T881.847,2.1388,0.13378,0.8736,0.69292
M813.108T834.298,2.1387,0.1338,0.87354,0.69292
M633.053T106.254,2.135,0.1343,0.87194,0.69292
M323.187T1016.246,2.1347,0.13433,0.87183,0.69292
M307.192T1165.654,2.1339,0.13445,0.87146,0.69292
M1103.384T928.554,2.1319,0.13471,0.87059,0.69292
M661.142T919.275,2.1263,0.13548,0.86812,0.69292
M476.417T1177.093,2.1253,0.13562,0.86769,0.69292
M401.05T875.074,2.1237,0.13582,0.86703,0.69292
M472.901T67.482,2.119,0.13647,0.86495,0.69292
M443.165T1058.069,2.1185,0.13653,0.86476,0.69292
M184.986T90.923,2.1172,0.13672,0.86417,0.69292
M415.167T872.593,2.1125,0.13737,0.86211,0.69292
M254.892T96.705,2.1118,0.13747,0.86181,0.69292
M517.099T802.454,2.1108,0.1376,0.86139,0.69292
M437.044T765.875,2.1107,0.13761,0.86134,0.69292
M947.338T316.358,2.1084,0.13793,0.86035,0.69292
M681.067T90.379,2.1046,0.13846,0.85866,0.69292
M463.182T861.112,2.0897,0.14056,0.85213,0.69292
M705.205T926.435,2.0874,0.14088,0.85116,0.69292
M1063.398T908.83,2.0836,0.14142,0.84948,0.69292
M457.207T887.727,2.0811,0.14178,0.84838,0.69292
M611.538T834.844,2.0795,0.142,0.8477,0.69292
M387.02T108.554,2.0791,0.14206,0.84753,0.69292
M311.104T1075.82,2.0784,0.14217,0.84719,0.69292
M538.221T942.724,2.0749,0.14268,0.84565,0.69292
M615.152T88.13,2.072,0.14308,0.84441,0.69292
M357.576T759.445,2.0708,0.14326,0.84388,0.69292
M714.253T913.384,2.0677,0.14371,0.84252,0.69292
M537.08T758.19,2.064,0.14425,0.84089,0.69292
M495.025T292.616,2.0634,0.14433,0.84063,0.69292
M187.905T92.369,2.0631,0.14438,0.8405,0.69292
M279.139T1150.344,2.0626,0.14446,0.84026,0.69292
M847.188T757.14,2.0624,0.14448,0.84018,0.69292
M361.512T316.902,2.0575,0.14521,0.83801,0.69292
M997.89T1398.741,2.0574,0.14522,0.83797,0.69292
M695.289T1193.403,2.0566,0.14534,0.83762,0.69292
M245.094T862.962,2.055,0.14557,0.83692,0.69292
M1612.706T937.864,2.0521,0.14599,0.83566,0.69292
M497.261T974.778,2.051,0.14615,0.83519,0.69292
M890.319T900.562,2.0496,0.14636,0.83457,0.69292
M701.131T783.655,2.0457,0.14695,0.83284,0.69292
M641.302T1183.734,2.0448,0.14709,0.83242,0.69292
M273.124T941.86,2.0419,0.14751,0.83118,0.69292
