"","C9.1","C9.2","C9.3","C9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","F9.4","X9.1","X9.2","X9.3","X9.4","BLANK.2","QC.1","QC.2","QC.3","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","X12.1","X12.2","X12.3","C15.1","C15.2","C15.3","C15.4","D15.1","D15.2","D15.3","D15.4","F15.1","F15.2","F15.3","F15.4","X15.1","X15.2","X15.3","X15.4"
"Label","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Fusarium","First-tp_Fusarium","First-tp_Fusarium","First-tp_Fusarium","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","Other","Other","Other","Other","Second-tp_Control","Second-tp_Control","Second-tp_Control","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Xanthomonas","Second-tp_Xanthomonas","Second-tp_Xanthomonas","Third-tp_Control","Third-tp_Control","Third-tp_Control","Third-tp_Control","Third-tp_Drought","Third-tp_Drought","Third-tp_Drought","Third-tp_Drought","Third-tp_Fusarium","Third-tp_Fusarium","Third-tp_Fusarium","Third-tp_Fusarium","Third-tp_Xanthomonas","Third-tp_Xanthomonas","Third-tp_Xanthomonas","Third-tp_Xanthomonas"
"sodium_formate","4070413.164","3874278.07","3824225.78","4055654.438","3969364.476","3963523.235","3748519.024","4093395.228","3922085.165","4081197.404","3906272.338","4398137.214","3999488.086","3978044.09","3825767.55","4040030.701","3680698.477","4066641.635","3879395.65","4076296.312","3985225.417","3922751.054","3861917.098","4036645.716","3843867.149","3845185.216","4021607.908","4043455.006","3773975.074","3345590.809","3565069.568","3815932.471","3878102.735","3825451.14","3977822.446","3907525.327","3448104.282","4002205.676","4056292.061","3963080.543","4082962.694","4193593.668","4242375.803","4078872.611","4313777.511","3963971.025","3742875.92","3939108.748","3533825.768","4923007.142"
"M697.459T1191.472","55684.876","31896.562","37098.796","71562.789","111944.303","48654.17","665881.902","51152.706","30936.349","58400","23958.044","3987.1729","105354.099","67484.42","66900","131000","517.66504","147331.1733","99500","139952.827","4925.6499","109223.737","157950.877","277117.269","276000","150678.262","142000","129000","94326.21","9214.0867","126038.528","209734.842","130477.612","190000","137572.763","228447.064","187283.4","82705.2","4625.0849","128266.249","3362.4878","2588.3252","517.66504","60600","6515.7847","47200.126","534594.482","762000","185085.512","186617.685"
"M695.447T1189.727","83081.174","85123.951","98764.798","99779.163","105915.184","87808.375","128651.828","91936.174","94806.809","107000","81972.152","11746.8246","97142.53","92575.631","82400","122000","13450.2944","126048.9958","134000","125924.459","19392.7322","140032.114","135717.609","182706.209","206000","120301.167","120000","126000","102252.782","18034.6893","106107.258","160062.415","165981.274","146000","116325.508","167423.142","128777.301","114125.41","17284.9886","104406.609","12174.7889","17581.6724","15014.7187","63800","16365.9382","86965.522","281743.583","452000","136650.0674","119040.159"
"M917.581T1308.231","34368.139","39887.509","67059.285","41747.83","47160.955","44049.13","69950.821","32592.502","38489.281","21200","13771.314","7160.4891","45448.735","68485.376","27800","50300","2115.8657","61374.9686","67700","46004.327","9064.5645","37509.03","53751.262","48972.723","90300","93593.596","50700","42900","53763.315","2184.1877","38215.561","70911.576","108071.863","52900","92649.707","64002.073","44982.186","70877.455","423.17314","45941.555","2228.3874","9019.9182","5330.5988","44400","7895.4014","33404.838","162064.821","108000","64149.5654","78964.098"
"M711.445T1221.644","58457.913","53010.795","50978.457","82090.413","88703.875","53254.345","103285.031","55463.079","42774.535","57400","43321.796","10203.841","65139.613","63334.344","49300","78400","5467.3746","77338.2661","86200","96719.521","11971.5114","78046.979","103578.25","155516.821","154000","95820.48","82300","135000","71197.308","11876.8173","67808.492","195832.604","134190.509","110000","102449.748","106714.933","101793.614","70451.133","3004.0937","135886.033","8924.035","6290.6093","7110.4351","38400","6448.2785","52657.281","143071.013","231000","118936.1393","87909.88"
"M557.468T1423.166","199019.015","562584.292","250667.015","331934.427","204020.494","145123.879","164335.182","204996.718","215146.995","150000","76024.845","26879.3274","458836.872","354372.383","260000","455000","14892.0994","292374.4778","410000","334984.908","39046.7557","204560.741","357704.93","432231.665","683000","466922.501","348000","418000","419916.387","12881.071","308958.315","540500.287","404711.333","312000","231699.346","241482.173","245033.79","327270.94","22049.6137","301279.84","32785.2759","36617.2375","21219.2881","110000","22606.4477","248796.327","320273.774","282000","379981.1174","413593.65"
"M679.436T1338.726","219264.282","183868.945","226053.862","282101.502","281515.631","221283.13","268682.991","180811.476","203130.698","143000","147167.781","81548.8049","362081.721","258822.43","212000","329000","122476.9514","359010.1836","452000","377428.723","78495.639","287374.165","420579.58","658959.215","650000","403825.841","377000","706000","453907.657","72123.0905","443298.429","915668.027","452176.761","453000","350518.987","347506.666","363400.156","324729.213","61661.3558","609073.784","57609.7958","65878.845","52471.459","137000","66952.4841","257347.427","512714.299","805000","397378.6396","426273.599"
"M589.459T1372.544","18198.211","115326.556","43119.788","86416.853","69205.068","38320.483","70375.896","25582.141","36156.258","29100","9869.014","20803.9564","107743.117","67575.905","29700","160000","3998.0049","104409.0261","118000","84365.09","22898.1671","83715.581","104461.691","226027.719","228000","126610.206","124000","177000","163865.837","14712.6626","117960.702","252427.935","160733.435","141000","64163.335","121022.322","124036.391","84968.282","13171.1804","136182.215","799.60098","9652.6116","6904.5008","14200","15977.6499","95905.188","255011.064","217000","111333.3027","113297.717"
"M681.469T1408.485","171388.88","160621.745","168156.22","314539.183","380164.145","232317.245","355429.749","196123.724","207110.618","167000","116647.311","98855.8047","453876.108","238162.945","227000","450000","112389.2869","518672.1418","584000","525769.479","133199.6069","346225.441","501134.66","989238.79","843000","478860.757","550000","998000","679366.942","114663.1071","923215.059","1197736.875","602551","609000","376162.001","402854.566","516846.529","326616.995","126741.1454","1218474.847","142260.4422","362643.95","90280.1924","171000","85777.0066","310512.748","924603.965","1190000","529692.6924","567483.823"
"M695.451T1225.817","131814.717","134866.193","145598.535","165873.252","191847.098","145608.294","225458.181","131072.654","143600.136","163000","124055.045","29981.8786","173047.698","152494.052","129000","197000","42074.5013","225171.3505","254000","228577.635","36154.2611","222289.97","229877.841","369653.9","369000","278107.411","225000","346000","217077.042","29298.0451","213507.894","455781.151","278365.793","276000","266705.973","258789.003","219980.786","180925.354","29029.7136","268725.118","35438.5878","27783.241","39075.5027","106000","34732.4418","144577.212","385135.544","597000","246763.1865","208066.293"
"M681.469T1389.183","163313.902","154095.195","163965.731","322227.404","368577.224","207141.428","347915.206","192312.388","174727.49","157000","110750.118","95071.8578","444405.459","235561.093","223000","423000","104816.5992","504877.2227","571000","503253.844","129317.6672","345725.652","492815.822","979108.969","837000","471758.313","536000","999000","683519.153","107228.1566","793714.181","1185554.165","595785.512","591000","352734.563","388964.232","512799.024","326676.038","121760.8268","1207487.635","128814.2273","344115.3081","79351.4491","163000","82328.9154","345199.724","917717.556","1170000","482513.0856","560648.032"
"M680.474T1439.81","166861.342","142681.859","185464.052","161118.469","235862.297","188803.261","202268.301","135770.106","140539.807","158000","121518.438","173865.68","197629.532","197797.262","157000","207000","185956.928","255051.3497","283000","281276.639","202525.4164","198655.953","257189.403","372540.94","354000","294066.006","261000","417000","309638.8","160746.4208","817456.095","494146.701","315296.625","237000","239702.454","246826.967","222328.274","205282.355","150829.5028","759935.845","148684.5438","725999.071","150506.7179","124000","151702.7495","161818.02","277578.202","368000","241441.5086","243184.112"
"M574.467T1456.399","164944.38","54043.66","103990.515","113555.375","134725.954","93186.771","120652.644","105149.06","55210.133","86900","29038.979","99358.252","172111.591","106702.193","138000","249000","19965.2981","157050.0698","210000","185858.483","39022.4779","131861.669","170449.622","300977.472","227000","215760.323","168000","347000","265759.54","62281.9603","194411.259","291392.105","167780.796","208000","114572.133","125402.348","164559.337","129926.082","22835.8629","242284.037","15297.6026","52362.6608","20972.9416","51300","34387.3308","123673.149","250560.995","240000","171999.7879","163677.386"
"M565.421T1295.888","67494.509","60386.758","58316.4","85393.954","105188.257","70201.2","137772.18","51088.143","77583.398","47600","38843.291","23258.9584","117777.246","78103.042","91100","117000","18101.2807","99801.8564","108000","102116.583","285637.5476","92641.568","144289.589","154545.936","171000","116017.411","136000","191000","108760.711","24242.8774","195841.541","206615.288","116982.233","147000","79385.412","82816.116","89369.636","69547.135","16980.0078","370280.447","18671.5536","54028.9258","38348.746","39400","17041.0266","68824.038","189567.716","254000","120985.9101","181151.352"
"M681.474T1424.253","164193.655","167515.132","173417.992","318947.215","335180.749","197036.275","202096.746","178457.822","184424.594","175000","133619.604","105579.5211","453221.947","231543.235","215000","394000","123928.6004","480019.3125","558000","486101.147","147355.875","311006.46","452569.623","915500.732","791000","446526.186","515000","944000","673182.302","115480.5369","910973.024","1130474.379","552850.821","566000","350411.231","360884.841","490147.243","308380.459","133413.9524","1211282.871","172594.5083","380355.8862","85914.2129","171000","86419.1869","298296.39","590553.698","677000","484012.3623","547921.109"
"M679.452T1355.733","227084.938","183868.945","226053.862","320695.421","288669.558","228092.915","268682.991","180811.476","209056.927","205000","151438.276","84643.0542","362081.721","258822.43","212000","341000","126258.7844","370953.7543","492000","387157.148","83438.2306","300323.785","469544.802","679391.579","624000","452803.24","391000","726000","473312.371","77235.7497","453571.194","926330.642","500760.652","461000","350518.987","336527.106","398857.227","285085.506","77708.8652","609073.784","57593.7314","65878.845","52417.218","144000","66952.4841","262550.574","512714.299","854000","417260.5188","426273.599"
"M713.46T1208.68","68820.709","25051.256","12831.842","60654.609","150949.803","34143.797","126512.555","36762.569","41635.713","32000","68573.418","4248.7682","74155.234","32623.865","59700","119000","7077.4266","144662.4417","131000","137325.694","3511.1035","92043.434","110080.482","310840.499","341000","99237.023","143000","151000","51982.084","13568.308","112223.948","188974.743","122157.225","193000","110938.11","233946.393","202678.207","85142.117","11646.5656","165318.582","3397.608","679.5216","16072.2664","44100","3727.9853","51950.436","323998.755","476000","143224.4268","161352.013"
"M711.444T1322.388","121463.842","121444.607","116726.739","153795.317","152855.293","120245.197","163101.924","106716.292","111145.421","111000","89774.788","36827.9411","142993.886","124157.193","109000","142000","32307.6222","154409.805","160000","172736.872","33969.1287","139596.414","178116.194","247389.367","263000","164782.006","148000","235000","162198.354","42695.2939","149305.834","293401.477","214667.879","193000","187119.215","178620.622","179071.511","128800.551","39385.8061","293869.075","34352.7665","51350.2938","44282.733","92300","35290.4277","110621.709","213172.552","371000","211175.3743","154016.775"
"M637.414T1384.421","112192.092","90000.603","98339.297","141939.689","137662.597","123541.239","139327.246","104924.698","109516.492","128000","75374.481","42060.9781","127573.936","113850.429","124000","172000","41628.8069","139944.5964","160000","143226.42","53442.2594","143299.106","151115.548","211600.274","195000","152124.445","175000","212000","170563.001","48200.3358","173888.749","235868.344","172879.439","177000","150878.48","152982.551","165725.798","129554.464","28108.4713","196473.654","43962.8621","64377.0433","35950.2577","88200","44446.9863","126386.511","140026.856","260000","178258.3995","153939.542"
"M637.411T1406.122","108662.69","95801.948","98967.773","136582.196","115642.995","121914.02","119802.505","114415.576","103849.158","120000","71203.221","43729.9679","132442.906","118372.347","122000","157000","45964.1172","134487.0958","173000","145857.175","61456.3135","138479.705","165096.315","209398.362","192000","146092.297","173000","211000","173891.616","60764.1649","180067.275","234334.287","179479.612","169000","154912.576","145260.22","161020.703","128707.767","38008.316","202159.802","51048.0884","73227.2015","41488.9121","85300","44561.6488","121720.957","135050.158","240000","181352.5204","147244.728"
"M729.452T1109.944","56554.445","36232.915","41034.807","65154.602","79221.743","59173.038","159957.925","31143.685","35665.803","46600","26610.278","14884.097","56790.368","50748.945","45800","74900","7647.4722","101677.7772","95800","84450.709","10357.1909","136145.562","90870.261","190769.494","170000","89188.023","65800","90300","54858.297","8113.2621","80678.754","158785.082","90531.878","112000","121748.239","134618.08","146816.691","52526.338","9758.8355","114750.824","7188.5135","4507.1391","14504.1523","48300","2324.3684","38583.073","241093.286","369000","108887.3302","98978.724"
"M571.365T1456.373","145551.779","120743.001","120616.518","110073.84","161165.253","106444.879","167646.293","164800.988","144653.586","115000","105962.867","62439.4059","156583.656","137318.739","136000","2e+05","53371.8812","180179.3984","166000","172555.316","66311.6848","183263.92","149743.997","205001.729","213000","198644.196","171000","235000","186558.625","68460.1725","150087.44","207958.475","182171.547","196000","211052.278","161095.686","150503.9","133948.188","60572.9787","212539.103","52031.3233","74905.5127","79493.9898","116000","64881.4287","123800.157","218049.628","295000","413925.7223","185005.972"
"M865.579T1358.969","2110.547","422.1094","422.1094","4769.633","30687.015","5492.809","18913.122","17250.962","2480.436","10000","2774.337","5039.3528","422.1094","2937.84","29800","15000","2250.9549","19540.4228","9280","4283.683","35030.4251","34205.668","17299.984","24226.408","9020","99043.956","18400","6870","9152.824","5239.4941","22403.472","18118.453","19866.652","16600","18390.532","18903.618","27529.643","21227.995","6551.5514","28792.126","8075.6847","24206.7189","12151.2614","137000","14996.1514","6698.389","593303.471","39500","32256.5067","23902.146"
"M867.584T1358.969","24579.92","19729.055","4183.538","3041.3","31251.513","13235.168","38980.397","26404.247","3228.639","19000","4724.904","7389.6066","5356.638","29171.286","10800","47100","6016.5501","32248.8127","20500","24506.329","18354.2891","32761.048","35158.164","70727.559","74000","49353.927","32300","5040","21154.058","7990.8268","608.26","32630.246","28642.034","24200","44686.841","31864.559","26975.605","24935.928","9626.7169","21628.575","8184.2675","18750.9377","13110.4203","47700","10413.8988","13466.072","198051.161","74800","48893.9731","11461.902"
"M682.472T1373.006","65050.927","71016.984","83430.536","133081.695","148728.389","87645.687","215892.389","94755.963","69424.21","72400","57251.106","32223.3269","214440.429","91621.968","93200","173000","45161.7353","248173.6808","242000","223915.972","40139.0712","151684.882","249633.579","404373.068","396000","178507.736","231000","430000","310530.025","32758.555","304923.079","480304.73","236355.044","289000","180700.909","167466.539","244460.655","133113.04","35439.6472","507287.18","60553.1205","88886.3013","17386.8336","71300","29281.1864","124951.833","453286.552","593000","228244.6099","283734.412"
"M589.459T1264.044","13279.696","13540.329","13810.302","27831.414","33645.142","14119.026","90809.208","24190.331","4303.151","18400","10364.304","4440.8735","25035.778","20093.651","23400","79100","2649.856","41309.8699","31000","47899.939","2791.1108","58991.34","58552.814","74029.921","74100","55489.208","45400","54600","58655.228","10292.313","31659.597","82349.124","48393.349","49500","35691.999","61135.789","33204.507","30419.025","4388.002","53483.954","2188.9142","437.78284","2572.5256","18800","2216.6225","19396.5","226642.565","231000","55875.686","49222.983"
"M633.478T1401.37","520225.574","558801.295","619174.143","871213.807","683082.969","625790.065","673145.917","546672.223","599345.129","566000","227635.228","245904.5654","1154979.405","797119.513","804000","1370000","184877.1851","862132.2933","1030000","794202.69","584311.9523","739106.599","1181824.262","1041296.57","1330000","968445.408","826000","1070000","1152473.706","202670.2996","1389702.567","1159630.549","970499.885","1010000","587403.954","736972.733","750047.013","728230.206","166542.4942","1226285.631","131853.9199","383465.2624","272809.2741","393000","216093.5717","670171","1329239.54","1280000","1073286.197","986809.542"
"M646.455T1423.013","56562.534","42722.065","59941.964","71025.505","93411.882","52752.403","51202.779","58048.486","61331.791","51100","32868.467","21304.4484","95911.753","88298.417","72200","139000","17758.4531","93340.9809","80300","115337.117","38008.9827","80723.097","99018.176","147939.177","128000","106494.68","85700","208000","133537.833","22182.7293","105295.27","208316.394","155201.403","102000","61513.564","59065.441","67375.95","58169.664","20332.4492","138795.056","43068.6545","31440.4145","19569.2769","42000","21572.5142","79603.725","85234.39","90500","131218.1335","87743.542"
"M637.412T1422.711","102360.036","87864.466","95625.614","131375.891","124619.373","116923.502","109075.689","110345.835","103849.158","113000","68419.359","43760.5094","127373.85","105525.045","117000","160000","45972.9075","134560.522","170000","143241.16","61474.8883","131927.927","161830.858","199015.292","186000","137348.175","171000","206000","169182.365","53123.504","175931.568","219396.651","167832.657","165000","145799.778","140685.264","155530.699","125861.283","38011.4674","184814.305","51063.7209","67261.6199","41530.8524","82700","44580.9364","118163.222","124986.87","227000","169282.3096","141261.851"
"M591.474T1330.445","130661.573","127396.929","138825.936","217333.461","248322.174","101285.984","351658.961","140083.602","191476.823","173000","52584.292","37309.0542","353241.914","173267.902","246000","434000","24422.2214","287457.3399","333000","298150.854","80933.8038","251686.335","401536.955","459810.052","452000","354838.407","361000","494000","461127.914","37345.282","419319.02","539353.046","316898.69","375000","191004.048","257536.439","312434.629","214080.144","34868.9268","457637.938","37311.3851","83898.5975","39228.3308","96800","35433.1679","203613.112","811224.015","619000","359937.7335","355831.858"
"M645.45T1333.909","228230.313","181888.614","235718.909","294292.076","287004.318","250695.592","383452.111","196992.656","236474.708","256000","184170.227","29668.5824","305647.056","223455.515","230000","370000","52065.1939","284974.035","280000","323479.91","63119.6199","312372.97","401946.505","381597.746","420000","391694.635","302000","453000","313237.787","28201.3489","318996.221","443078.141","360703.491","345000","290463.161","311826.397","294850.735","263405.974","44686.9838","277607.946","62376.2214","41650.9024","54104.7142","142000","39130.9092","235781.135","313676.825","428000","458436.941","305555.21"
"M593.485T1401.37","134163.811","140952.951","164720.02","232764.214","204381.89","168325.472","222887.415","183028.338","221155.843","169000","78431.48","51432.6109","295872.332","196269.804","268000","335000","53538.4039","272104.2977","284000","261169.055","156741.0441","216680.445","263561.921","282573.673","306000","315815.576","279000","341000","333144.566","66489.44","359844.889","333378.112","233447.098","320000","143800.057","201714.831","224130.412","195280.162","65917.9745","425821.465","62673.2433","126087.223","78305.1118","117000","67537.3574","189429.019","453947.394","375000","310190.08","312005.939"
"M591.474T1402.346","149877.385","143453.075","161171.656","235634.366","257745.908","110096.171","333164.76","157512.379","197774.134","183000","56710.09","49540.8294","369627.762","194263.345","277000","451000","33767.1849","296974.5261","354000","311222.553","96333.6063","242957.342","435676.606","468019.322","488000","371806.881","381000","526000","474293.02","43396.295","458625.639","568925.107","337393.446","390000","196415.358","256217.266","334798.912","235394.481","38586.6137","487691.663","40466.848","101034.5911","44646.6688","107000","40387.547","216530.665","795430.492","605000","367899.2026","383673.381"
"M645.458T1212.039","214794.355","174822.897","224920.029","266368.109","265379.75","231828.015","379772.633","190063.266","213711.84","250000","160778.168","20779.4483","270329.988","206351.153","215000","329000","44646.8921","250875.1378","248000","278478.357","43093.9991","270793.344","401800.562","335313.596","324000","362370.792","257000","351000","264772.604","20323.6905","244872.155","377269.762","324288.404","296000","285389.216","286053.898","242510.47","247432.684","35517.5727","221336.011","46435.3673","24684.9196","41432.4304","127000","28250.0584","215809.02","356681.103","475000","397887.9543","266751.741"
"M555.363T1275.021","73820.284","70668.299","42519.672","44161.861","81566.274","50411.57","191373.692","174683.522","71882.04","63300","46081.675","5844.1195","69872.341","56525.348","64500","96600","5001.7389","159603.3549","77200","137867.184","16825.3662","99885.456","111361.595","190458.176","116000","161354.697","101000","102000","91700.778","3092.3201","74222.879","123638.09","107906.091","102000","165166.25","111807.85","88593.945","84261.603","618.46402","101917.3","12910.3041","8649.5957","12250.3422","45500","10584.933","90158.173","161790.362","332000","457727.1179","72186.852"
"M670.528T1488.279","49964.272","50338.605","52886.866","78614.754","87543.682","60495.628","53331.259","54640.535","52689.099","46200","44933.987","27967.0418","102981.521","63342.486","55300","92200","29389.637","80787.9069","104000","86021.575","64167.2773","77248.865","97207.997","127171.491","122000","82689.668","109000","174000","129144.493","26266.0084","105832.228","171495.04","97550.002","95900","57775.111","62975.465","81155.304","76581.429","23871.1797","147476.12","26126.4077","47175.5047","22730.4632","38000","43182.4339","82305.666","120634.233","125000","105507.6854","93342.903"
