sample,condition,Sodium_Formate,M354.284T1595.998,M573.464T1458.338,M575.48T1424.867,M632.472T1474.795,M633.474T1424.866,M634.485T1424.862,M648.465T1441.075,M649.479T1424.057,M650.482T1423.88,M767.839T17.122,M871.491T17.124,M882.812T18.125,M912.805T18.125,M972.813T17.121,M990.789T18.143,M1059.46T14.114,M1067.787T17.122,M1087.458T13.111,M1154.769T17.115,M1170.77T17.127,M1187.772T13.11,M1222.764T12.168,M1239.758T16.118,M1252.751T12.611,M1279.087T13.111,M1287.747T14.113,M1356.732T13.109,M1414.729T13.11,M1419.724T14.619,M1447.213T13.111,M1522.706T13.16,M1576.695T13.11,M1593.442T13.11,M1610.691T13.111
C9.1,con_9,4034768.1,345450.98,140114.694,135261.444,100157.43,518608.258,229276.92,98560.395,442934.417,143900.775,15725.718,11765.765,19390.751,15709.217,41593.118,18668.156,34199.717,25718.577,17291.361,16697.244,32385.464,76163.791,11543.07,11444.125,15644.562,20031.916,28330.32,19486.139,31654.68,12041.144,10846.454,10056.01,15940.978,15246.245,16715.998
C9.2,con_9,3834773.912,264620.889,90939.283,96640.683,97344.448,603371.533,242604.672,71440.2,507723.404,276757.53,15921.967,10703.249,18341.285,11696.986,41286.209,15520.422,33470.748,25921.532,10292.786,16243.393,30824.196,71099.003,13837.399,11036.031,13920.514,20328.943,28683.623,19223.257,32131.588,11411.256,11730.487,10955.564,15432.158,14355.851,17250.257
C9.3,con_9,3778849.129,278282.377,162401.265,162987.364,119461.218,624738.809,290922.4,113229.462,462262.78,253927.135,16974.531,13226.812,18653.191,13831.923,38984.604,13540.368,30768.396,24862.233,14427.641,17676.36,31241.689,70217.064,13992.64,10719.76,14100.865,19377.087,27164.998,17353.287,29721.035,11005.158,11137.654,11031.256,15619.165,13246.597,16740.763
C9.4,con_9,4038727.883,339588.368,244713.407,203931.869,208004.032,870980.787,325515.677,229228.11,948004.012,417780.99,13608.838,15196.623,19402.348,13624.494,41250.916,14777.752,33268.669,24497.615,10659.764,16629.918,31415.266,76299.587,11648.525,11597.964,12571.437,21243.204,30947.437,19376.746,32453.522,10932.264,10463.209,11549.441,16037.384,14736.132,18198.27
D9.1,dro_9,3927944.588,415975.808,204181.39,193011.484,162820.412,637171.09,253244.804,173420.616,766645.67,333964.909,16051.096,10369.409,18065.701,10605.424,38876.721,11453.171,30590.178,20358.941,16032.781,11502.404,23264.032,72386.408,12371.993,10253.518,14037.62,20313.772,26109.301,20053.547,29739.546,10185.165,11752.963,10597.519,15002.073,13463.663,19375.566
D9.2,dro_9,3923775.51,374704.619,168801.52,128092.606,129417.229,631262.402,241031.264,143128.193,474540.878,248069.14,18732.336,11852.48,16002.515,11094.738,44567.673,13545.055,33521.663,19857.664,16186.627,16128.914,27732.6,73641.119,12039.572,9308.138,13860.187,21051.997,28366.024,18642.763,29091.801,11850.022,12915.299,10158.639,15167.692,15775.76,18613.132
D9.3,dro_9,3741009.216,354686.92,326093.34,255969.09,231458.721,928940.728,372722.657,281174.969,1333737.397,503306.774,14479.308,10351.325,13980.931,8757.163,36124.048,10771.101,30600.123,18463.446,17912.338,9310.675,21720.47,68503.38,10520.579,9169.691,15169.372,19654.444,27275.033,17675.641,29189.502,10066.571,10844.128,9230.061,13164.719,13009.7,17264.205
D9.4,dro_9,4053881.971,386024.464,160826.197,150319.248,112717.202,550560.669,227322.782,124187.468,504260.407,231644.688,16693.022,10386.936,17140.398,9553.203,37872.725,11745.237,30714.329,20337.369,18323.838,13920.825,25347.531,69875.851,10983.601,9976.391,15053.779,20369.75,27761.507,19161.619,30710.318,10508.027,13819.944,10873.001,15063.227,14010.345,19555.522
F9.1,foc_9,3890744.446,297104.297,186227.869,184329.492,126186.686,597755.475,285198.441,140476.956,489592.173,241998.143,6236.654,10716.255,18143.957,8078.074,33545.655,13066.238,29875.312,18983.451,15714.995,13494.601,20960.797,68386.358,9534.518,9534.744,13638.899,20053.603,26587.787,17222.171,29522.913,11709.756,12086.223,10689.332,15399.978,12686.514,15676.89
F9.2,foc_9,4045781.04,309683.02,131800.085,133238.83,125875.129,565581.498,219618.638,102137.2,414440.644,221023.458,14591.644,11232.821,18522.937,11074.335,38727.836,14608.192,28683.062,19291.702,20557.488,13135.192,32168.216,72249.033,12400.872,12924.658,14728.018,20230.51,29456.104,12507.41,31049.089,12271.347,13749.022,11799.932,16196.584,13362.624,18890.948
